table_name,table_type,column_name,data_type,description,mode
features_runner_event,TABLE,event_id,STRING,,NULLABLE
features_runner_event,TABLE,horse_id,STRING,,NULLABLE
features_runner_event,TABLE,event_date,STRING,,NULLABLE
features_runner_event,TABLE,cloth_number,INTEGER,,NULLABLE
features_runner_event,TABLE,total_net,FLOAT,,NULLABLE
features_runner_event,TABLE,weather_temp_c,FLOAT,,NULLABLE
features_runner_event,TABLE,weather_wind_kph,FLOAT,,NULLABLE
features_runner_event,TABLE,weather_precip_mm,FLOAT,,NULLABLE
features_runner_event,TABLE,going,STRING,,NULLABLE
features_runner_event,TABLE,recent_runs,INTEGER,,NULLABLE
features_runner_event,TABLE,avg_finish,FLOAT,,NULLABLE
features_runner_event,TABLE,wins_last5,INTEGER,,NULLABLE
features_runner_event,TABLE,places_last5,INTEGER,,NULLABLE
features_runner_event,TABLE,days_since_last_run,INTEGER,,NULLABLE
hr_horse_runs,TABLE,horse_id,STRING,,NULLABLE
hr_horse_runs,TABLE,event_id,STRING,,NULLABLE
hr_horse_runs,TABLE,race_id,STRING,,NULLABLE
hr_horse_runs,TABLE,finish_pos,INTEGER,,NULLABLE
hr_horse_runs,TABLE,status,STRING,,NULLABLE
hr_horse_runs,TABLE,cloth_number,INTEGER,,NULLABLE
hr_horse_runs,TABLE,jockey,STRING,,NULLABLE
hr_horse_runs,TABLE,trainer,STRING,,NULLABLE
hr_horse_runs,TABLE,recorded_ts,STRING,,NULLABLE
hr_horses,TABLE,horse_id,STRING,,NULLABLE
hr_horses,TABLE,name,STRING,,NULLABLE
hr_horses,TABLE,country,STRING,,NULLABLE
models,TABLE,model_id,STRING,,NULLABLE
models,TABLE,created_ts,INTEGER,,NULLABLE
models,TABLE,market,STRING,,NULLABLE
models,TABLE,algo,STRING,,NULLABLE
models,TABLE,params_json,STRING,,NULLABLE
models,TABLE,metrics_json,STRING,,NULLABLE
models,TABLE,path,STRING,,NULLABLE
predictions,TABLE,model_id,STRING,,NULLABLE
predictions,TABLE,ts_ms,INTEGER,,NULLABLE
predictions,TABLE,event_id,STRING,,NULLABLE
predictions,TABLE,horse_id,STRING,,NULLABLE
predictions,TABLE,market,STRING,,NULLABLE
predictions,TABLE,proba,FLOAT,,NULLABLE
predictions,TABLE,rank,INTEGER,,NULLABLE
race_conditions,TABLE,event_id,STRING,,NULLABLE
race_conditions,TABLE,venue,STRING,,NULLABLE
race_conditions,TABLE,country,STRING,,NULLABLE
race_conditions,TABLE,start_iso,STRING,,NULLABLE
race_conditions,TABLE,going,STRING,,NULLABLE
race_conditions,TABLE,surface,STRING,,NULLABLE
race_conditions,TABLE,distance,STRING,,NULLABLE
race_conditions,TABLE,weather_desc,STRING,,NULLABLE
race_conditions,TABLE,weather_temp_c,FLOAT,,NULLABLE
race_conditions,TABLE,weather_wind_kph,FLOAT,,NULLABLE
race_conditions,TABLE,weather_precip_mm,FLOAT,,NULLABLE
race_conditions,TABLE,source,STRING,,NULLABLE
race_conditions,TABLE,fetched_ts,STRING,,NULLABLE
raw_tote,TABLE,raw_id,STRING,,NULLABLE
raw_tote,TABLE,endpoint,STRING,,NULLABLE
raw_tote,TABLE,entity_id,STRING,,NULLABLE
raw_tote,TABLE,sport,STRING,,NULLABLE
raw_tote,TABLE,fetched_ts,STRING,,NULLABLE
raw_tote,TABLE,payload,STRING,,NULLABLE
raw_tote_probable_odds,TABLE,raw_id,STRING,,NULLABLE
raw_tote_probable_odds,TABLE,fetched_ts,INTEGER,,NULLABLE
raw_tote_probable_odds,TABLE,payload,STRING,,NULLABLE
tote_event_competitors_log,TABLE,event_id,STRING,,NULLABLE
tote_event_competitors_log,TABLE,ts_ms,INTEGER,,NULLABLE
tote_event_competitors_log,TABLE,competitors_json,STRING,,NULLABLE
tote_events,TABLE,event_id,STRING,,NULLABLE
tote_events,TABLE,name,STRING,,NULLABLE
tote_events,TABLE,sport,STRING,,NULLABLE
tote_events,TABLE,venue,STRING,,NULLABLE
tote_events,TABLE,country,STRING,,NULLABLE
tote_events,TABLE,start_iso,STRING,,NULLABLE
tote_events,TABLE,status,STRING,,NULLABLE
tote_events,TABLE,comp,STRING,,NULLABLE
tote_events,TABLE,home,STRING,,NULLABLE
tote_events,TABLE,away,STRING,,NULLABLE
tote_events,TABLE,competitors_json,STRING,,NULLABLE
tote_events,TABLE,source,STRING,,NULLABLE
tote_events,TABLE,result_status,STRING,,NULLABLE
tote_params,TABLE,t,FLOAT,,NULLABLE
tote_params,TABLE,f,FLOAT,,NULLABLE
tote_params,TABLE,stake_per_line,FLOAT,,NULLABLE
tote_params,TABLE,R,FLOAT,,NULLABLE
tote_params,TABLE,updated_ts,TIMESTAMP,,NULLABLE
tote_params,TABLE,model_id,STRING,,NULLABLE
tote_params,TABLE,ts_ms,INTEGER,,NULLABLE
tote_params,TABLE,default_top_n,INTEGER,,NULLABLE
tote_params,TABLE,target_coverage,FLOAT,,NULLABLE
tote_pool_snapshots,TABLE,product_id,STRING,,NULLABLE
tote_pool_snapshots,TABLE,event_id,STRING,,NULLABLE
tote_pool_snapshots,TABLE,bet_type,STRING,,NULLABLE
tote_pool_snapshots,TABLE,status,STRING,,NULLABLE
tote_pool_snapshots,TABLE,currency,STRING,,NULLABLE
tote_pool_snapshots,TABLE,start_iso,STRING,,NULLABLE
tote_pool_snapshots,TABLE,ts_ms,INTEGER,,NULLABLE
tote_pool_snapshots,TABLE,total_gross,FLOAT,,NULLABLE
tote_pool_snapshots,TABLE,total_net,FLOAT,,NULLABLE
tote_pool_snapshots,TABLE,rollover,FLOAT,,NULLABLE
tote_pool_snapshots,TABLE,deduction_rate,FLOAT,,NULLABLE
tote_product_dividends,TABLE,product_id,STRING,,NULLABLE
tote_product_dividends,TABLE,selection,STRING,,NULLABLE
tote_product_dividends,TABLE,dividend,FLOAT,,NULLABLE
tote_product_dividends,TABLE,ts,STRING,,NULLABLE
tote_product_selections,TABLE,product_id,STRING,,NULLABLE
tote_product_selections,TABLE,leg_index,INTEGER,,NULLABLE
tote_product_selections,TABLE,selection_id,STRING,,NULLABLE
tote_product_selections,TABLE,competitor,STRING,,NULLABLE
tote_product_selections,TABLE,number,INTEGER,,NULLABLE
tote_product_selections,TABLE,leg_event_id,STRING,,NULLABLE
tote_product_selections,TABLE,leg_event_name,STRING,,NULLABLE
tote_product_selections,TABLE,leg_venue,STRING,,NULLABLE
tote_product_selections,TABLE,leg_start_iso,STRING,,NULLABLE
tote_product_selections,TABLE,product_leg_id,STRING,,NULLABLE
tote_product_selections,TABLE,total_units,FLOAT,,NULLABLE
tote_product_selections,TABLE,units_ts_ms,INTEGER,,NULLABLE
tote_products,TABLE,product_id,STRING,,NULLABLE
tote_products,TABLE,bet_type,STRING,,NULLABLE
tote_products,TABLE,status,STRING,,NULLABLE
tote_products,TABLE,currency,STRING,,NULLABLE
tote_products,TABLE,total_gross,FLOAT,,NULLABLE
tote_products,TABLE,total_net,FLOAT,,NULLABLE
tote_products,TABLE,event_id,STRING,,NULLABLE
tote_products,TABLE,event_name,STRING,,NULLABLE
tote_products,TABLE,venue,STRING,,NULLABLE
tote_products,TABLE,start_iso,STRING,,NULLABLE
tote_products,TABLE,source,STRING,,NULLABLE
tote_products,TABLE,rollover,FLOAT,,NULLABLE
tote_products,TABLE,deduction_rate,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,product_id,STRING,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,event_id,STRING,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,event_name,STRING,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,venue,STRING,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,country,STRING,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,start_iso,STRING,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,status,STRING,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,currency,STRING,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,total_gross,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,total_net,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60,VIEW,n_competitors,INTEGER,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,product_id,STRING,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,event_id,STRING,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,event_name,STRING,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,venue,STRING,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,country,STRING,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,start_iso,STRING,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,status,STRING,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,currency,STRING,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,total_gross,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,total_net,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,n_competitors,INTEGER,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,t,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,f,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,stake_per_line,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,R,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,combos,INTEGER,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,S,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,O_min,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,roi_current,FLOAT,,NULLABLE
vw_gb_open_superfecta_next60_be,VIEW,viable_now,BOOLEAN,,NULLABLE
vw_horse_runs_by_name,VIEW,horse_name,STRING,,NULLABLE
vw_horse_runs_by_name,VIEW,horse_id,STRING,,NULLABLE
vw_horse_runs_by_name,VIEW,event_id,STRING,,NULLABLE
vw_horse_runs_by_name,VIEW,event_date,DATE,,NULLABLE
vw_horse_runs_by_name,VIEW,venue,STRING,,NULLABLE
vw_horse_runs_by_name,VIEW,country,STRING,,NULLABLE
vw_horse_runs_by_name,VIEW,race_name,STRING,,NULLABLE
vw_horse_runs_by_name,VIEW,cloth_number,INTEGER,,NULLABLE
vw_horse_runs_by_name,VIEW,finish_pos,INTEGER,,NULLABLE
vw_horse_runs_by_name,VIEW,status,STRING,,NULLABLE
vw_pl_strength,VIEW,product_id,STRING,,NULLABLE
vw_pl_strength,VIEW,selection_id,STRING,,NULLABLE
vw_pl_strength,VIEW,strength,FLOAT,,NULLABLE
vw_runner_features,VIEW,event_id,STRING,,NULLABLE
vw_runner_features,VIEW,horse_id,STRING,,NULLABLE
vw_runner_features,VIEW,horse_name,STRING,,NULLABLE
vw_runner_features,VIEW,event_date,STRING,,NULLABLE
vw_runner_features,VIEW,cloth_number,INTEGER,,NULLABLE
vw_runner_features,VIEW,total_net,FLOAT,,NULLABLE
vw_runner_features,VIEW,weather_temp_c,FLOAT,,NULLABLE
vw_runner_features,VIEW,weather_wind_kph,FLOAT,,NULLABLE
vw_runner_features,VIEW,weather_precip_mm,FLOAT,,NULLABLE
vw_runner_features,VIEW,going,STRING,,NULLABLE
vw_runner_features,VIEW,recent_runs,INTEGER,,NULLABLE
vw_runner_features,VIEW,avg_finish,FLOAT,,NULLABLE
vw_runner_features,VIEW,wins_last5,INTEGER,,NULLABLE
vw_runner_features,VIEW,places_last5,INTEGER,,NULLABLE
vw_runner_features,VIEW,days_since_last_run,INTEGER,,NULLABLE
vw_sf_products_with_selections,VIEW,product_id,STRING,,NULLABLE
vw_sf_products_with_selections,VIEW,event_id,STRING,,NULLABLE
vw_sf_products_with_selections,VIEW,event_name,STRING,,NULLABLE
vw_sf_products_with_selections,VIEW,venue,STRING,,NULLABLE
vw_sf_products_with_selections,VIEW,start_iso,STRING,,NULLABLE
vw_sf_products_with_selections,VIEW,n_selections,INTEGER,,NULLABLE
vw_sf_selection_health,VIEW,product_id,STRING,,NULLABLE
vw_sf_selection_health,VIEW,event_id,STRING,,NULLABLE
vw_sf_selection_health,VIEW,event_name,STRING,,NULLABLE
vw_sf_selection_health,VIEW,venue,STRING,,NULLABLE
vw_sf_selection_health,VIEW,start_iso,STRING,,NULLABLE
vw_sf_selection_health,VIEW,n_missing_leg_id,INTEGER,,NULLABLE
vw_sf_selection_health,VIEW,n_missing_number,INTEGER,,NULLABLE
vw_sf_selection_health,VIEW,n_dup_numbers,INTEGER,,NULLABLE
vw_sf_selection_health,VIEW,no_selections,INTEGER,,NULLABLE
vw_sf_selection_map,VIEW,product_id,STRING,,NULLABLE
vw_sf_selection_map,VIEW,product_leg_id,STRING,,NULLABLE
vw_sf_selection_map,VIEW,cloth_or_trap,INTEGER,,NULLABLE
vw_sf_selection_map,VIEW,selection_id,STRING,,NULLABLE
vw_sf_selection_map,VIEW,competitor,STRING,,NULLABLE
vw_sf_selection_map,VIEW,event_id,STRING,,NULLABLE
vw_sf_selection_map,VIEW,venue,STRING,,NULLABLE
vw_sf_selection_map,VIEW,start_iso,STRING,,NULLABLE
vw_sf_selection_map,VIEW,units_ts_ms,INTEGER,,NULLABLE
vw_sf_selection_map,VIEW,total_units,FLOAT,,NULLABLE
vw_superfecta_actual_results,VIEW,event_id,STRING,,NULLABLE
vw_superfecta_actual_results,VIEW,actual_superfecta_order_string,STRING,,NULLABLE
vw_superfecta_dividends_latest,VIEW,product_id,STRING,,NULLABLE
vw_superfecta_dividends_latest,VIEW,selection,STRING,,NULLABLE
vw_superfecta_dividends_latest,VIEW,dividend,FLOAT,,NULLABLE
vw_superfecta_dividends_latest,VIEW,ts,STRING,,NULLABLE
vw_superfecta_products,VIEW,product_id,STRING,,NULLABLE
vw_superfecta_products,VIEW,event_id,STRING,,NULLABLE
vw_superfecta_products,VIEW,event_name,STRING,,NULLABLE
vw_superfecta_products,VIEW,venue,STRING,,NULLABLE
vw_superfecta_products,VIEW,country,STRING,,NULLABLE
vw_superfecta_products,VIEW,start_iso,STRING,,NULLABLE
vw_superfecta_products,VIEW,status,STRING,,NULLABLE
vw_superfecta_products,VIEW,currency,STRING,,NULLABLE
vw_superfecta_products,VIEW,total_gross,FLOAT,,NULLABLE
vw_superfecta_products,VIEW,total_net,FLOAT,,NULLABLE
vw_superfecta_runner_strength,VIEW,product_id,STRING,,NULLABLE
vw_superfecta_runner_strength,VIEW,event_id,STRING,,NULLABLE
vw_superfecta_runner_strength,VIEW,runner_id,STRING,,NULLABLE
vw_superfecta_runner_strength,VIEW,strength,FLOAT,,NULLABLE
vw_superfecta_training,VIEW,event_id,STRING,,NULLABLE
vw_superfecta_training,VIEW,product_id,STRING,,NULLABLE
vw_superfecta_training,VIEW,event_date,DATE,,NULLABLE
vw_superfecta_training,VIEW,venue,STRING,,NULLABLE
vw_superfecta_training,VIEW,country,STRING,,NULLABLE
vw_superfecta_training,VIEW,total_net,FLOAT,,NULLABLE
vw_superfecta_training,VIEW,going,STRING,,NULLABLE
vw_superfecta_training,VIEW,weather_temp_c,FLOAT,,NULLABLE
vw_superfecta_training,VIEW,weather_wind_kph,FLOAT,,NULLABLE
vw_superfecta_training,VIEW,weather_precip_mm,FLOAT,,NULLABLE
vw_superfecta_training,VIEW,horse_id,STRING,,NULLABLE
vw_superfecta_training,VIEW,cloth_number,INTEGER,,NULLABLE
vw_superfecta_training,VIEW,finish_pos,INTEGER,,NULLABLE
vw_superfecta_training,VIEW,status,STRING,,NULLABLE
vw_today_gb_events,VIEW,event_id,STRING,,NULLABLE
vw_today_gb_events,VIEW,name,STRING,,NULLABLE
vw_today_gb_events,VIEW,status,STRING,,NULLABLE
vw_today_gb_events,VIEW,start_iso,STRING,,NULLABLE
vw_today_gb_events,VIEW,venue,STRING,,NULLABLE
vw_today_gb_events,VIEW,country,STRING,,NULLABLE
vw_today_gb_events,VIEW,n_competitors,INTEGER,,NULLABLE
vw_today_gb_superfecta,VIEW,product_id,STRING,,NULLABLE
vw_today_gb_superfecta,VIEW,event_id,STRING,,NULLABLE
vw_today_gb_superfecta,VIEW,event_name,STRING,,NULLABLE
vw_today_gb_superfecta,VIEW,venue,STRING,,NULLABLE
vw_today_gb_superfecta,VIEW,country,STRING,,NULLABLE
vw_today_gb_superfecta,VIEW,start_iso,STRING,,NULLABLE
vw_today_gb_superfecta,VIEW,status,STRING,,NULLABLE
vw_today_gb_superfecta,VIEW,currency,STRING,,NULLABLE
vw_today_gb_superfecta,VIEW,total_gross,FLOAT,,NULLABLE
vw_today_gb_superfecta,VIEW,total_net,FLOAT,,NULLABLE
vw_today_gb_superfecta,VIEW,n_competitors,INTEGER,,NULLABLE
vw_today_gb_superfecta_be,VIEW,product_id,STRING,,NULLABLE
vw_today_gb_superfecta_be,VIEW,event_id,STRING,,NULLABLE
vw_today_gb_superfecta_be,VIEW,event_name,STRING,,NULLABLE
vw_today_gb_superfecta_be,VIEW,venue,STRING,,NULLABLE
vw_today_gb_superfecta_be,VIEW,country,STRING,,NULLABLE
vw_today_gb_superfecta_be,VIEW,start_iso,STRING,,NULLABLE
vw_today_gb_superfecta_be,VIEW,status,STRING,,NULLABLE
vw_today_gb_superfecta_be,VIEW,currency,STRING,,NULLABLE
vw_today_gb_superfecta_be,VIEW,total_gross,FLOAT,,NULLABLE
vw_today_gb_superfecta_be,VIEW,total_net,FLOAT,,NULLABLE
vw_today_gb_superfecta_be,VIEW,n_competitors,INTEGER,,NULLABLE
vw_today_gb_superfecta_be,VIEW,combos,INTEGER,,NULLABLE
vw_today_gb_superfecta_be,VIEW,S,FLOAT,,NULLABLE
vw_today_gb_superfecta_be,VIEW,t,FLOAT,,NULLABLE
vw_today_gb_superfecta_be,VIEW,f,FLOAT,,NULLABLE
vw_today_gb_superfecta_be,VIEW,R,FLOAT,,NULLABLE
vw_today_gb_superfecta_be,VIEW,O_min,FLOAT,,NULLABLE
vw_today_gb_superfecta_be,VIEW,roi_current,FLOAT,,NULLABLE
vw_today_gb_superfecta_be,VIEW,viable_now,BOOLEAN,,NULLABLE
vw_today_gb_superfecta_latest,VIEW,product_id,STRING,,NULLABLE
vw_today_gb_superfecta_latest,VIEW,event_id,STRING,,NULLABLE
vw_today_gb_superfecta_latest,VIEW,bet_type,STRING,,NULLABLE
vw_today_gb_superfecta_latest,VIEW,status,STRING,,NULLABLE
vw_today_gb_superfecta_latest,VIEW,currency,STRING,,NULLABLE
vw_today_gb_superfecta_latest,VIEW,start_iso,STRING,,NULLABLE
vw_today_gb_superfecta_latest,VIEW,ts_ms,INTEGER,,NULLABLE
vw_today_gb_superfecta_latest,VIEW,total_gross,FLOAT,,NULLABLE
vw_today_gb_superfecta_latest,VIEW,total_net,FLOAT,,NULLABLE
vw_tote_probable_odds,VIEW,raw_id,STRING,,NULLABLE
vw_tote_probable_odds,VIEW,fetched_ts,INTEGER,,NULLABLE
vw_tote_probable_odds,VIEW,product_id,STRING,,NULLABLE
vw_tote_probable_odds,VIEW,product_name,STRING,,NULLABLE
vw_tote_probable_odds,VIEW,leg_id,STRING,,NULLABLE
vw_tote_probable_odds,VIEW,selection_id,STRING,,NULLABLE
vw_tote_probable_odds,VIEW,competitor_name,STRING,,NULLABLE
vw_tote_probable_odds,VIEW,cloth_number,STRING,,NULLABLE
vw_tote_probable_odds,VIEW,decimal_odds,STRING,,NULLABLE
vw_tote_probable_win,VIEW,product_id,STRING,,NULLABLE
vw_tote_probable_win,VIEW,selection_id,STRING,,NULLABLE
vw_tote_probable_win,VIEW,number,INTEGER,,NULLABLE
vw_tote_probable_win,VIEW,competitor,STRING,,NULLABLE
vw_tote_probable_win,VIEW,event_id,STRING,,NULLABLE
vw_tote_probable_win,VIEW,event_name,STRING,,NULLABLE
vw_tote_probable_win,VIEW,venue,STRING,,NULLABLE
vw_tote_probable_win,VIEW,start_iso,STRING,,NULLABLE
vw_tote_probable_win,VIEW,total_units,FLOAT,,NULLABLE
vw_tote_probable_win,VIEW,units_ts_ms,INTEGER,,NULLABLE
vw_tote_probable_win,VIEW,pct_units,FLOAT,,NULLABLE
